;Th0_05h_1;Th0_05h_2;Th0_05h_3;Th0_05h_Medel;Th0_1h_1;Th0_1h_2;Th0_1h_3;Th0_1h_Medel;Th0_2h_1;Th0_2h_2;Th0_2h_3;Th_0_2h_Medel;Th0_4h_1;Th0_4h_2;Th0_4h_3;Th0_4h_medel;Th0_6h_1;Th0_6h_2;Th0_6h_3;Th0_6h_Medel;Th0_12h_1;Th0_12h_2;Th0_12h_3;Th0_12h_Medel;Th0_24h_1;Th0_24h_2;Th0_24h_3;Th0_24h_Medel;Th0_48h_1;Th0_48h_2;Th0_48h_3;Th0_48h_Medel;Th0_72h_1;Th0_72h_2;Th0_72h_3;Th0_72_Medel;;;;;;;;;;Tidpunkter;;testset
ENSG00000283607;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;0,5;;2
ENSG00000283688;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;1;;3
ENSG00000283622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;2;;5
ENSG00000283275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;4;;17
ENSG00000283297;0,875709;1,43504;0,744852;1,018533667;0,885514;0,669931;1,09676;0,884068333;0,862212;0,346829;0,596874;0,601971667;0,864086;0,713824;0,729234;0,769048;1,31073;1,27144;0,7354;1,105856667;1,3249;2,3754;0,893382;1,531227333;0,401601;0,32017;0,644489;0,45542;1,55582;1,11112;1,46542;1,377453333;2,20585;1,7775;2,19031;2,057886667;;;;;;;;;;6;;0
ENSG00000283573;0,787354;0,313673;0;0,367009;0,615209;0;0,976361;0,530523333;1,85183;1,72302;1,45977;1,678206667;0,847662;1,46923;1,50715;1,274680667;0,385262;0,283838;0;0,223033333;0,343463;0,565563;0,346761;0,418595667;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;12;;4
ENSG00000283327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;24;;21
ENSG00000282961;0,356019;0,413098;0,286433;0,35185;0,296043;0,314888;0,2579;0,289610333;0,356555;0,40801;0,308796;0,357787;0,303103;0,349156;0,271985;0,308081333;0,439805;0,325452;0,29435;0,353202333;0,237514;0,288792;0,225677;0,250661;0,15091;0,21486;0,185348;0,183706;0,178969;0,173704;0,193237;0,18197;0,154173;0,16975;0,193306;0,172409667;;;;;;;;;;48;;7
ENSG00000283218;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;72;;8
ENSG00000283444;0;0;0;0;0;0;0;0;0;0,436185;0;0,145395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
